epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,29565.6,0.36879,0.28633,0.93184,0.98795,0.98992,0.99351,0.9394,0.4029,0.20353,1.00872,4.6435e-05,4.6435e-05,4.6435e-05
108,29833.1,0.36992,0.27846,0.93625,0.98785,0.99094,0.99438,0.94172,0.40259,0.20194,1.00812,4.33825e-05,4.33825e-05,4.33825e-05
109,30102.6,0.37225,0.2735,0.94126,0.98796,0.99094,0.99415,0.94121,0.4017,0.20067,1.00727,4.033e-05,4.033e-05,4.033e-05
110,30378.5,0.3649,0.27302,0.9376,0.98799,0.99031,0.99372,0.94171,0.40163,0.20213,1.01244,3.72775e-05,3.72775e-05,3.72775e-05
111,30666.3,0.30028,0.18093,0.90778,0.98522,0.98938,0.99293,0.93552,0.41556,0.20769,1.01896,3.4225e-05,3.4225e-05,3.4225e-05
112,30942.7,0.27842,0.16739,0.89423,0.98603,0.9904,0.99366,0.93711,0.41281,0.20666,1.01727,3.11725e-05,3.11725e-05,3.11725e-05
113,31219.8,0.27222,0.16888,0.88567,0.98649,0.99166,0.99386,0.93922,0.41106,0.204,1.01603,2.812e-05,2.812e-05,2.812e-05
114,31503,0.27313,0.16677,0.88954,0.98697,0.99243,0.99394,0.93939,0.41229,0.20465,1.01814,2.50675e-05,2.50675e-05,2.50675e-05
115,31780.6,0.26208,0.16535,0.88059,0.98644,0.99303,0.99404,0.93965,0.40627,0.2017,1.01193,2.2015e-05,2.2015e-05,2.2015e-05
116,32056.5,0.26623,0.16414,0.88338,0.98722,0.99341,0.99415,0.94126,0.40372,0.2005,1.00825,1.89625e-05,1.89625e-05,1.89625e-05
117,32327.5,0.26218,0.16071,0.88246,0.98772,0.99369,0.9941,0.93955,0.40331,0.19914,1.0123,1.591e-05,1.591e-05,1.591e-05
118,32589.6,0.25326,0.15947,0.87019,0.98773,0.99344,0.99404,0.94032,0.40332,0.1981,1.01251,1.28575e-05,1.28575e-05,1.28575e-05
119,32872.3,0.2547,0.16123,0.8771,0.98765,0.99366,0.99411,0.94268,0.40075,0.19492,1.01252,9.805e-06,9.805e-06,9.805e-06
120,33134.4,0.24766,0.1552,0.87523,0.98772,0.99403,0.99409,0.94099,0.40039,0.19599,1.01159,6.7525e-06,6.7525e-06,6.7525e-06
