epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5827.41,0.38313,0.30543,0.91329,0.97466,0.98357,0.99401,0.92326,0.42802,0.2478,0.94289,0.00016243,0.00016243,0.00016243
70,5913.35,0.39065,0.31658,0.91516,0.96881,0.99106,0.995,0.92458,0.42008,0.2603,0.9467,0.000159377,0.000159377,0.000159377
71,5998.2,0.38784,0.3037,0.91704,0.98068,0.99409,0.995,0.92271,0.41895,0.24607,0.94911,0.000156325,0.000156325,0.000156325
72,6089.36,0.38413,0.29907,0.9177,0.98452,0.98974,0.995,0.92592,0.43695,0.23754,0.9456,0.000153273,0.000153273,0.000153273
73,6176.89,0.37307,0.28658,0.90214,0.97596,0.99062,0.9909,0.91959,0.42255,0.25761,0.94184,0.00015022,0.00015022,0.00015022
74,6265.66,0.37057,0.2943,0.90958,0.97215,0.98871,0.995,0.925,0.43761,0.25591,0.95674,0.000147168,0.000147168,0.000147168
75,6353.47,0.36025,0.28682,0.90449,0.98066,0.98075,0.995,0.9197,0.43306,0.24607,0.96544,0.000144115,0.000144115,0.000144115
76,6432.61,0.34356,0.26707,0.89046,0.98608,0.99388,0.995,0.92343,0.4307,0.2442,0.94634,0.000141062,0.000141062,0.000141062
77,6516.45,0.35848,0.28187,0.90248,0.97878,0.98723,0.995,0.91964,0.42264,0.23953,0.94642,0.00013801,0.00013801,0.00013801
78,6601.55,0.36058,0.26809,0.90806,0.98202,0.98785,0.995,0.91859,0.43578,0.2442,0.96004,0.000134957,0.000134957,0.000134957
79,6688.41,0.3601,0.26867,0.9023,0.9863,0.99571,0.995,0.92241,0.4292,0.23456,0.95265,0.000131905,0.000131905,0.000131905
80,6779.1,0.34381,0.27349,0.90192,0.98346,0.98448,0.995,0.92008,0.41922,0.23915,0.94408,0.000128853,0.000128853,0.000128853
81,6857.2,0.35602,0.27404,0.90667,0.98428,0.98966,0.995,0.92114,0.42337,0.24201,0.94824,0.0001258,0.0001258,0.0001258
